epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5218,2.22025,6.29143,1.49096,0,0,0,0,2.05653,5.66476,1.27189,2.24148e-05,2.24148e-05,2.24148e-05
2,31.1967,2.08301,5.56416,1.23246,0.68853,0.0239,0.01554,0.00845,2.0193,4.5331,1.24356,4.48583e-05,4.48583e-05,4.48583e-05
3,46.4808,2.02211,4.58649,1.19414,0.52543,0.05625,0.03363,0.02213,1.9334,3.61593,1.22745,6.70774e-05,6.70774e-05,6.70774e-05
4,60.6554,1.96871,3.89019,1.17875,0.62237,0.0679,0.05662,0.03728,1.82614,3.1609,1.18467,6.69902e-05,6.69902e-05,6.69902e-05
5,74.8114,1.86175,3.4947,1.15275,0.65025,0.08706,0.09716,0.0638,1.76107,2.80147,1.14502,6.66536e-05,6.66536e-05,6.66536e-05
6,88.9693,1.82409,3.24751,1.13738,0.70919,0.1024,0.11115,0.07421,1.71184,2.59352,1.1269,6.6317e-05,6.6317e-05,6.6317e-05
7,103.111,1.77093,3.06641,1.1248,0.73891,0.12374,0.1417,0.09372,1.67246,2.43123,1.11937,6.59804e-05,6.59804e-05,6.59804e-05
8,117.191,1.71542,2.84437,1.11329,0.74272,0.13926,0.17288,0.11759,1.66894,2.26113,1.11214,6.56438e-05,6.56438e-05,6.56438e-05
9,131.354,1.70649,2.72994,1.09806,0.77044,0.15782,0.20478,0.13941,1.60049,2.1243,1.10185,6.53072e-05,6.53072e-05,6.53072e-05
10,145.464,1.67453,2.58789,1.09638,0.81266,0.17907,0.23068,0.15859,1.57572,2.04861,1.09324,6.49706e-05,6.49706e-05,6.49706e-05
11,159.666,1.63485,2.48225,1.08825,0.77528,0.1762,0.25014,0.16907,1.56455,1.96005,1.08699,6.4634e-05,6.4634e-05,6.4634e-05
12,173.904,1.6324,2.38919,1.08755,0.76412,0.2223,0.27343,0.18608,1.54418,1.86168,1.08694,6.42974e-05,6.42974e-05,6.42974e-05
