epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.0983,1.31245,3.41557,1.81026,0.57635,0.03644,0.04564,0.02761,4.05934,8.05047,3.2713,8.72004e-05,8.72004e-05,8.72004e-05
2,187.955,0.94821,0.92919,1.68408,0.41647,0.03543,0.0421,0.02217,4.47434,8.96712,3.50284,0.000173136,0.000173136,0.000173136
3,276.578,0.88484,0.70409,1.66684,0.17086,0.0406,0.05705,0.03498,4.20358,8.69124,3.39739,0.000257336,0.000257336,0.000257336
4,365.513,0.86255,0.6244,1.66047,0.53846,0.0384,0.05211,0.03087,4.01702,9.05956,3.38427,0.000255189,0.000255189,0.000255189
5,454.222,0.78971,0.55515,1.6453,0.5384,0.03543,0.05141,0.03239,4.13151,9.62408,3.45826,0.000252585,0.000252585,0.000252585
6,542.672,0.73573,0.49914,1.63286,0.02716,0.22863,0.04823,0.03245,4.10128,9.37316,3.48881,0.000249981,0.000249981,0.000249981
7,631.06,0.71888,0.47279,1.629,0.49888,0.03846,0.04191,0.02929,4.04885,9.44218,3.47711,0.000247378,0.000247378,0.000247378
8,719.167,0.69621,0.45118,1.62486,0.38462,0.03825,0.04268,0.02887,4.14377,9.45592,3.57746,0.000244774,0.000244774,0.000244774
9,807.016,0.66367,0.43211,1.6196,0.42204,0.03745,0.04867,0.03126,4.1408,9.92861,3.75033,0.00024217,0.00024217,0.00024217
10,894.857,0.65627,0.41549,1.61852,0.49972,0.03644,0.04273,0.02828,4.18434,10.2005,3.57398,0.000239567,0.000239567,0.000239567
11,982.622,0.64924,0.40672,1.61282,0.38238,0.03644,0.04397,0.02933,4.13782,10.1058,3.57494,0.000236963,0.000236963,0.000236963
12,1070.42,0.62024,0.39029,1.60744,0.38348,0.03337,0.0425,0.02936,4.17598,10.2517,3.61235,0.000234359,0.000234359,0.000234359
13,1159.21,0.60578,0.38176,1.6037,0.38315,0.03644,0.04192,0.02834,4.16077,10.3654,3.60166,0.000231756,0.000231756,0.000231756
14,1247.25,0.57202,0.35715,1.59935,0.18353,0.04274,0.04617,0.03132,4.19682,9.89362,3.80037,0.000229152,0.000229152,0.000229152
15,1335.02,0.58607,0.36493,1.60038,0.42206,0.03732,0.04723,0.0309,4.18232,9.9422,3.62603,0.000226548,0.000226548,0.000226548
16,1422.81,0.57484,0.35967,1.59779,0.03738,0.05235,0.0459,0.03189,4.12801,10.9912,3.5955,0.000223945,0.000223945,0.000223945
17,1510.94,0.5651,0.35255,1.59993,0.30554,0.03745,0.04444,0.03081,4.18394,10.5931,3.55937,0.000221341,0.000221341,0.000221341
