epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4672,2.2951,6.36431,1.55645,0,0,0,0,2.06472,5.63187,1.26189,2.24148e-05,2.24148e-05,2.24148e-05
2,30.3243,1.98218,5.42609,1.23129,0.68351,0.02851,0.02461,0.01467,2.13836,4.19648,1.26311,4.49699e-05,4.49699e-05,4.49699e-05
3,44.2244,1.90078,4.27171,1.1973,0.64525,0.06643,0.05173,0.03007,2.05183,3.40384,1.21637,6.74128e-05,6.74128e-05,6.74128e-05
4,58.0301,1.77175,3.67659,1.15242,0.75726,0.06158,0.07083,0.04291,1.89712,2.98945,1.15833,6.74951e-05,6.74951e-05,6.74951e-05
5,71.8933,1.71224,3.2542,1.1349,0.7649,0.08769,0.10739,0.06742,1.80801,2.66879,1.1281,6.73268e-05,6.73268e-05,6.73268e-05
6,85.7662,1.6304,2.98169,1.10719,0.81397,0.10112,0.13083,0.07693,1.86176,2.52035,1.15488,6.71585e-05,6.71585e-05,6.71585e-05
7,99.6752,1.59272,2.7966,1.09251,0.76314,0.13932,0.16341,0.10006,1.73933,2.32253,1.11548,6.69902e-05,6.69902e-05,6.69902e-05
8,113.505,1.54048,2.62537,1.07581,0.6981,0.1734,0.19986,0.12521,1.69307,2.15632,1.09129,6.68219e-05,6.68219e-05,6.68219e-05
9,127.353,1.49409,2.4417,1.06533,0.69375,0.19331,0.22468,0.14253,1.6607,2.05593,1.0887,6.66536e-05,6.66536e-05,6.66536e-05
10,141.201,1.4721,2.32111,1.05835,0.77577,0.21185,0.26903,0.17229,1.62982,1.9405,1.08462,6.64853e-05,6.64853e-05,6.64853e-05
11,155.07,1.44059,2.2268,1.04783,0.79425,0.2066,0.30725,0.20224,1.58425,1.84121,1.07239,6.6317e-05,6.6317e-05,6.6317e-05
12,168.958,1.45226,2.12949,1.057,0.68227,0.29977,0.33925,0.22052,1.62069,1.79197,1.08879,6.61487e-05,6.61487e-05,6.61487e-05
13,182.899,1.38566,1.99386,1.02591,0.65663,0.30291,0.34605,0.22803,1.54748,1.71558,1.06188,6.59804e-05,6.59804e-05,6.59804e-05
14,196.812,1.38763,1.92201,1.03017,0.62936,0.32792,0.38264,0.24966,1.55503,1.65123,1.06914,6.58121e-05,6.58121e-05,6.58121e-05
15,210.716,1.37302,1.85865,1.02684,0.68021,0.33919,0.40427,0.26283,1.53024,1.61445,1.05945,6.56438e-05,6.56438e-05,6.56438e-05
16,224.636,1.33299,1.79693,1.01447,0.63623,0.37888,0.44387,0.29012,1.53633,1.58324,1.06137,6.54755e-05,6.54755e-05,6.54755e-05
17,238.556,1.32782,1.72996,1.01157,0.61972,0.39085,0.44443,0.29238,1.50157,1.5419,1.04897,6.53072e-05,6.53072e-05,6.53072e-05
18,252.839,1.30799,1.67789,1.00728,0.64585,0.4086,0.47258,0.31055,1.48934,1.47603,1.04539,6.51389e-05,6.51389e-05,6.51389e-05
19,266.975,1.29324,1.6223,1.00012,0.64398,0.44247,0.49608,0.32375,1.52289,1.43555,1.05442,6.49706e-05,6.49706e-05,6.49706e-05
20,280.878,1.29146,1.58941,1.00125,0.69499,0.42314,0.50123,0.32205,1.5058,1.39463,1.04906,6.48023e-05,6.48023e-05,6.48023e-05
21,294.74,1.27569,1.53882,0.99604,0.69031,0.4472,0.51345,0.33762,1.47508,1.37828,1.04153,6.4634e-05,6.4634e-05,6.4634e-05
22,308.63,1.26315,1.50699,0.99239,0.73208,0.44075,0.52253,0.33697,1.53879,1.3596,1.05845,6.44657e-05,6.44657e-05,6.44657e-05
23,322.513,1.23725,1.463,0.98207,0.68199,0.48834,0.54936,0.34891,1.48531,1.32445,1.04262,6.42974e-05,6.42974e-05,6.42974e-05
24,336.412,1.24029,1.44388,0.98139,0.75231,0.46035,0.55174,0.35373,1.48793,1.30372,1.04481,6.41291e-05,6.41291e-05,6.41291e-05
25,350.297,1.24064,1.40979,0.98371,0.66929,0.50024,0.56938,0.36173,1.48166,1.29237,1.04093,6.39608e-05,6.39608e-05,6.39608e-05
26,364.193,1.23076,1.39213,0.97901,0.78781,0.45244,0.56746,0.35797,1.46925,1.30616,1.03889,6.37925e-05,6.37925e-05,6.37925e-05
27,378.094,1.22118,1.36262,0.9786,0.65004,0.50482,0.58499,0.37473,1.47252,1.2454,1.03883,6.36242e-05,6.36242e-05,6.36242e-05
28,392,1.20095,1.33299,0.97318,0.80366,0.46416,0.59023,0.37387,1.46567,1.242,1.0376,6.34559e-05,6.34559e-05,6.34559e-05
29,405.928,1.19137,1.31003,0.97071,0.76779,0.48046,0.60336,0.3811,1.47903,1.22636,1.04386,6.32876e-05,6.32876e-05,6.32876e-05
30,419.818,1.19947,1.31737,0.9727,0.77113,0.4859,0.60094,0.38266,1.442,1.2087,1.03222,6.31193e-05,6.31193e-05,6.31193e-05
31,433.679,1.18315,1.27573,0.96452,0.73692,0.4839,0.61306,0.39039,1.45435,1.20612,1.03249,6.2951e-05,6.2951e-05,6.2951e-05
32,447.6,1.17292,1.25768,0.96536,0.68137,0.53818,0.61237,0.39845,1.43645,1.18309,1.02621,6.27827e-05,6.27827e-05,6.27827e-05
33,461.526,1.16492,1.23576,0.96119,0.66025,0.53925,0.62797,0.40014,1.42924,1.16837,1.02537,6.26144e-05,6.26144e-05,6.26144e-05
34,475.418,1.16649,1.2176,0.95727,0.73014,0.52754,0.63779,0.39982,1.48053,1.15629,1.04341,6.24461e-05,6.24461e-05,6.24461e-05
35,489.339,1.14745,1.20848,0.96026,0.68182,0.55972,0.63713,0.4114,1.43959,1.13946,1.03138,6.22778e-05,6.22778e-05,6.22778e-05
36,503.723,1.15376,1.1987,0.95821,0.73854,0.5426,0.65567,0.42075,1.41427,1.14056,1.0241,6.21095e-05,6.21095e-05,6.21095e-05
