epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7718,2.17098,5.81593,1.50418,0.72801,0.04252,0.04341,0.02666,2.00642,3.55153,1.28542,2.24148e-05,2.24148e-05,2.24148e-05
2,88.874,1.67203,3.2,1.20475,0.76802,0.15984,0.19691,0.12229,1.73432,2.18338,1.1501,4.49699e-05,4.49699e-05,4.49699e-05
3,130.599,1.45954,2.13744,1.11999,0.71458,0.29325,0.37533,0.23619,1.61082,1.60367,1.11826,6.74128e-05,6.74128e-05,6.74128e-05
4,172.136,1.34886,1.61556,1.06887,0.64168,0.43846,0.50189,0.32346,1.54452,1.33458,1.09925,6.74951e-05,6.74951e-05,6.74951e-05
5,213.696,1.30076,1.31372,1.05626,0.72144,0.48891,0.60403,0.39163,1.52246,1.16198,1.09049,6.73268e-05,6.73268e-05,6.73268e-05
6,255.181,1.24043,1.14188,1.03027,0.72906,0.54922,0.63036,0.43155,1.40966,1.0616,1.05652,6.71585e-05,6.71585e-05,6.71585e-05
7,296.668,1.20411,1.04992,1.01629,0.71688,0.61682,0.67292,0.45898,1.38588,1.0132,1.04321,6.69902e-05,6.69902e-05,6.69902e-05
8,338.039,1.15979,0.93579,1.00116,0.76839,0.61228,0.69955,0.47847,1.34115,0.97675,1.03131,6.68219e-05,6.68219e-05,6.68219e-05
9,379.733,1.13029,0.84946,0.98668,0.76588,0.64524,0.72551,0.50531,1.34413,0.90993,1.03598,6.66536e-05,6.66536e-05,6.66536e-05
10,421.712,1.09052,0.78242,0.97213,0.75479,0.66874,0.74335,0.51723,1.28672,0.90186,1.01547,6.64853e-05,6.64853e-05,6.64853e-05
11,463.494,1.07843,0.77359,0.96592,0.77338,0.65418,0.74565,0.5206,1.29816,0.88802,1.0165,6.6317e-05,6.6317e-05,6.6317e-05
12,505.343,1.06826,0.73205,0.96702,0.76602,0.66852,0.73512,0.52304,1.26351,0.89599,1.01385,6.61487e-05,6.61487e-05,6.61487e-05
13,547.085,1.02168,0.67245,0.94625,0.815,0.67156,0.78964,0.54243,1.29624,0.83893,1.01488,6.59804e-05,6.59804e-05,6.59804e-05
14,588.75,1.00123,0.64735,0.93736,0.82972,0.66327,0.78114,0.54239,1.28341,0.83856,1.01411,6.58121e-05,6.58121e-05,6.58121e-05
15,630.121,0.98247,0.62621,0.93038,0.78449,0.69518,0.7827,0.552,1.26238,0.82377,1.01046,6.56438e-05,6.56438e-05,6.56438e-05
16,671.542,0.96541,0.60478,0.92417,0.75642,0.73007,0.79411,0.55106,1.27689,0.8371,1.01344,6.54755e-05,6.54755e-05,6.54755e-05
17,713.083,0.94774,0.58069,0.9155,0.76906,0.70628,0.79589,0.55526,1.28609,0.80121,1.01433,6.53072e-05,6.53072e-05,6.53072e-05
18,754.532,0.9411,0.56531,0.91534,0.86699,0.65817,0.80303,0.57599,1.22635,0.77468,1.00456,6.51389e-05,6.51389e-05,6.51389e-05
19,796.087,0.91402,0.55008,0.9074,0.81984,0.73209,0.80365,0.57476,1.26031,0.78251,1.01343,6.49706e-05,6.49706e-05,6.49706e-05
20,837.556,0.91009,0.54655,0.90582,0.78306,0.74642,0.78938,0.56618,1.25571,0.78027,1.00977,6.48023e-05,6.48023e-05,6.48023e-05
21,878.889,0.89237,0.5225,0.89813,0.81488,0.71957,0.7931,0.56814,1.23081,0.77376,1.00648,6.4634e-05,6.4634e-05,6.4634e-05
22,920.263,0.87417,0.51679,0.89654,0.80077,0.72233,0.8056,0.58765,1.21881,0.75426,1.00834,6.44657e-05,6.44657e-05,6.44657e-05
23,961.759,0.86037,0.5023,0.89025,0.78122,0.74023,0.81271,0.59624,1.19332,0.76067,1.00279,6.42974e-05,6.42974e-05,6.42974e-05
24,1003.21,0.84947,0.48888,0.88524,0.81924,0.7304,0.80596,0.58532,1.21373,0.75632,1.00446,6.41291e-05,6.41291e-05,6.41291e-05
25,1044.57,0.84284,0.48787,0.88495,0.76071,0.76841,0.8133,0.59086,1.21319,0.74028,1.00647,6.39608e-05,6.39608e-05,6.39608e-05
26,1085.87,0.82886,0.47611,0.87857,0.84168,0.70202,0.79844,0.58163,1.19238,0.73327,0.99751,6.37925e-05,6.37925e-05,6.37925e-05
27,1127.26,0.81951,0.46931,0.87806,0.79871,0.76217,0.81394,0.58588,1.21104,0.72968,1.00186,6.36242e-05,6.36242e-05,6.36242e-05
28,1168.55,0.81975,0.46653,0.87779,0.80854,0.73896,0.81117,0.57701,1.20879,0.73176,1.00238,6.34559e-05,6.34559e-05,6.34559e-05
29,1209.92,0.80489,0.45196,0.87394,0.83663,0.73802,0.81279,0.60061,1.17459,0.7213,0.99715,6.32876e-05,6.32876e-05,6.32876e-05
30,1251.41,0.78728,0.45495,0.8685,0.83088,0.73482,0.81642,0.60175,1.17076,0.72982,0.99319,6.31193e-05,6.31193e-05,6.31193e-05
31,1292.93,0.78746,0.44748,0.87041,0.8386,0.72343,0.83096,0.60998,1.17922,0.72123,0.99993,6.2951e-05,6.2951e-05,6.2951e-05
32,1334.38,0.7749,0.43999,0.86441,0.8392,0.73632,0.83107,0.60812,1.16983,0.70851,0.99809,6.27827e-05,6.27827e-05,6.27827e-05
33,1375.71,0.76198,0.42788,0.85938,0.87181,0.7072,0.83439,0.61217,1.16287,0.70413,1.00234,6.26144e-05,6.26144e-05,6.26144e-05
34,1417.14,0.75053,0.42192,0.85668,0.78329,0.76527,0.82459,0.60863,1.15258,0.70439,0.99479,6.24461e-05,6.24461e-05,6.24461e-05
35,1459.55,0.74443,0.43142,0.86237,0.80365,0.74781,0.82252,0.61079,1.15917,0.7053,0.99452,6.22778e-05,6.22778e-05,6.22778e-05
36,1500.84,0.7268,0.41249,0.85065,0.84181,0.73316,0.82802,0.60767,1.16531,0.7041,0.9993,6.21095e-05,6.21095e-05,6.21095e-05
37,1542.36,0.72757,0.40686,0.85401,0.84175,0.73873,0.83296,0.60807,1.17838,0.70313,0.99727,6.19412e-05,6.19412e-05,6.19412e-05
38,1583.63,0.7097,0.39984,0.84513,0.82477,0.75835,0.83303,0.61238,1.16574,0.70651,1.00189,6.17729e-05,6.17729e-05,6.17729e-05
39,1625.29,0.70366,0.39604,0.84742,0.75331,0.79233,0.83246,0.60704,1.15158,0.70625,0.99497,6.16046e-05,6.16046e-05,6.16046e-05
40,1666.69,0.70667,0.40519,0.84643,0.85833,0.7363,0.82527,0.60077,1.18721,0.7128,1.00205,6.14363e-05,6.14363e-05,6.14363e-05
41,1708.11,0.68387,0.39109,0.83916,0.83778,0.72098,0.81805,0.60245,1.16947,0.71051,0.99469,6.1268e-05,6.1268e-05,6.1268e-05
42,1750.05,0.67791,0.38856,0.83242,0.81709,0.75067,0.82674,0.61834,1.13398,0.71915,0.98984,6.10997e-05,6.10997e-05,6.10997e-05
43,1793.04,0.69151,0.39156,0.84239,0.85811,0.71014,0.81788,0.60854,1.13806,0.71067,0.99115,6.09314e-05,6.09314e-05,6.09314e-05
44,1835.51,0.66777,0.37733,0.8372,0.76674,0.78515,0.82314,0.62127,1.13078,0.69126,0.9891,6.07631e-05,6.07631e-05,6.07631e-05
45,1876.92,0.6691,0.37585,0.84,0.81146,0.75579,0.82591,0.62056,1.13475,0.68112,0.99324,6.05948e-05,6.05948e-05,6.05948e-05
46,1918.75,0.6503,0.36959,0.8339,0.82774,0.73689,0.82888,0.6237,1.13038,0.69903,0.99221,6.04265e-05,6.04265e-05,6.04265e-05
47,1960.15,0.64885,0.36804,0.83461,0.81852,0.74525,0.83352,0.6276,1.12982,0.69245,0.98969,6.02582e-05,6.02582e-05,6.02582e-05
48,2001.57,0.63513,0.36443,0.83591,0.81681,0.76622,0.82935,0.6268,1.12452,0.70845,0.99062,6.00899e-05,6.00899e-05,6.00899e-05
49,2042.86,0.63039,0.35847,0.82681,0.81039,0.75054,0.82347,0.62328,1.13328,0.69201,0.9957,5.99216e-05,5.99216e-05,5.99216e-05
