epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7347,3.95457,12.2498,2.72781,0.4499,0.08276,0.02959,0.01741,4.04766,15.5622,2.57544,0.0032963,0.0032963,0.0032963
2,66.7373,3.38559,7.39287,2.37565,0.74455,0.04536,0.06401,0.03585,4.044,8.85562,2.69257,0.00662143,0.00662143,0.00662143
3,98.3562,3.44803,6.78043,2.47435,0.34466,0.04521,0.03849,0.01772,4.88386,17.5893,3.10796,0.0099383,0.0099383,0.0099383
4,129.724,3.56942,6.2713,2.58284,0.329,0.04553,0.03833,0.01716,4.49151,24.8374,3.08102,0.00996287,0.00996287,0.00996287
5,161.116,3.63962,5.35963,2.63949,0.40471,0.08156,0.07711,0.03486,4.43419,15.6142,2.99564,0.0099505,0.0099505,0.0099505
6,192.54,3.69906,5.07213,2.72055,0.35601,0.08566,0.07219,0.03389,4.32853,8.15002,2.95993,0.00993813,0.00993813,0.00993813
7,224.427,3.73018,4.52268,2.72736,0.45938,0.08004,0.08139,0.03907,4.75115,6.78688,3.0957,0.00992575,0.00992575,0.00992575
8,255.77,3.70828,4.54037,2.75829,0.49061,0.13087,0.12262,0.05811,4.27309,10.0457,2.89737,0.00991338,0.00991338,0.00991338
9,287.283,3.72496,4.21724,2.76962,0.36032,0.13908,0.12281,0.05919,4.57382,9.88904,3.04803,0.009901,0.009901,0.009901
10,318.615,3.77792,4.14534,2.77797,0.60215,0.10717,0.13728,0.06325,4.28136,5.64389,2.80979,0.00988862,0.00988862,0.00988862
11,349.901,3.69354,3.7941,2.71589,0.56964,0.14951,0.14769,0.06851,4.42914,6.48282,2.90677,0.00987625,0.00987625,0.00987625
12,381.122,3.66885,3.78046,2.72981,0.55387,0.12594,0.145,0.06598,4.31688,5.50501,2.91882,0.00986387,0.00986387,0.00986387
13,412.509,3.56279,3.54564,2.66373,0.54917,0.18951,0.21951,0.11078,4.21653,4.44251,2.789,0.0098515,0.0098515,0.0098515
14,444.019,3.51391,3.4811,2.60044,0.60527,0.15496,0.17532,0.08079,4.25714,4.82438,2.78395,0.00983913,0.00983913,0.00983913
15,475.353,3.4568,3.17586,2.59357,0.6044,0.1418,0.16235,0.07639,4.50872,5.04791,2.92955,0.00982675,0.00982675,0.00982675
16,506.623,3.64506,3.1346,2.68747,0.61533,0.12238,0.15538,0.07496,4.32474,5.12463,2.81025,0.00981438,0.00981438,0.00981438
17,537.917,3.49462,3.09241,2.59509,0.19109,0.05223,0.04884,0.0192,5.58357,22.2453,3.37947,0.009802,0.009802,0.009802
18,569.239,3.51152,3.06432,2.60004,0.56839,0.19502,0.22748,0.11665,4.37034,5.54789,2.83328,0.00978962,0.00978962,0.00978962
19,600.694,3.53431,3.05134,2.61999,0.539,0.14326,0.17108,0.08819,4.23316,5.34406,2.79578,0.00977725,0.00977725,0.00977725
20,632.043,3.39941,3.01512,2.54092,0.58354,0.16242,0.2248,0.11183,4.18171,4.73715,2.71562,0.00976487,0.00976487,0.00976487
21,663.342,3.23417,2.72388,2.43436,0.60432,0.12477,0.15025,0.06901,4.56551,5.92198,2.89736,0.0097525,0.0097525,0.0097525
22,694.653,3.39281,2.91255,2.54555,0.60157,0.20546,0.25922,0.14295,4.0425,4.31374,2.76395,0.00974013,0.00974013,0.00974013
23,726.03,3.29022,2.76742,2.48397,0.58626,0.27729,0.32076,0.16374,3.99921,3.72309,2.65115,0.00972775,0.00972775,0.00972775
24,757.455,3.26738,2.77745,2.44581,0.70101,0.1739,0.25953,0.14425,4.03857,4.85699,2.70837,0.00971538,0.00971538,0.00971538
25,788.823,3.25262,2.74808,2.44787,0.60228,0.24256,0.31488,0.16162,3.93521,4.04042,2.60105,0.009703,0.009703,0.009703
26,820.171,3.33341,2.72763,2.48241,0.62196,0.27764,0.32663,0.17829,3.81668,3.67531,2.59987,0.00969063,0.00969063,0.00969063
27,851.557,3.05819,2.45992,2.33975,0.65998,0.26906,0.34058,0.19038,3.79416,3.58319,2.54896,0.00967825,0.00967825,0.00967825
