epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7773,3.80389,13.5166,2.61051,0.77052,0.07217,0.06859,0.04312,3.41036,5.55131,2.2302,0.0032963,0.0032963,0.0032963
2,95.8051,3.08058,6.36241,2.24411,0.77456,0.14914,0.21594,0.11453,3.86411,5.35564,2.50839,0.00662143,0.00662143,0.00662143
3,144.31,3.06532,4.76546,2.26251,0.60566,0.19987,0.22893,0.10885,4.6602,7.80745,3.2129,0.0099383,0.0099383,0.0099383
4,190.237,3.04598,3.76481,2.24444,0.64349,0.2327,0.32234,0.17413,3.94971,5.78285,2.64835,0.00996287,0.00996287,0.00996287
5,236.382,3.03765,2.89323,2.25096,0.4254,0.28311,0.28198,0.1621,4.02764,5.41071,2.89961,0.0099505,0.0099505,0.0099505
6,282.32,2.93618,2.59208,2.20737,0.44983,0.44418,0.46135,0.26211,3.58095,3.90062,2.39621,0.00993813,0.00993813,0.00993813
7,328.423,2.91104,2.41393,2.20369,0.68845,0.15792,0.21119,0.11244,4.60421,4.80167,2.97721,0.00992575,0.00992575,0.00992575
8,374.307,2.84603,2.17446,2.17874,0.69335,0.41746,0.50185,0.29042,3.56572,2.50468,2.42202,0.00991338,0.00991338,0.00991338
9,420.33,2.75988,1.94983,2.15141,0.69645,0.46433,0.56238,0.31469,3.44829,2.43563,2.31456,0.009901,0.009901,0.009901
10,466.319,2.70811,1.81833,2.11658,0.69291,0.46634,0.59528,0.37226,3.10183,2.3715,2.1934,0.00988862,0.00988862,0.00988862
11,512.378,2.61819,1.74901,2.08578,0.72856,0.45699,0.59297,0.37167,3.16363,2.29507,2.22303,0.00987625,0.00987625,0.00987625
12,558.397,2.62371,1.68891,2.11359,0.58969,0.53102,0.56029,0.34534,3.29653,3.22554,2.26559,0.00986387,0.00986387,0.00986387
13,604.413,2.54689,1.56773,2.06226,0.63262,0.57711,0.61942,0.36759,3.25792,2.44234,2.25441,0.0098515,0.0098515,0.0098515
14,650.784,2.49317,1.53724,2.04077,0.65979,0.57092,0.65536,0.38921,3.15708,2.01602,2.21409,0.00983913,0.00983913,0.00983913
15,697.014,2.50329,1.48397,2.04785,0.67847,0.46179,0.55026,0.34344,3.24224,2.56263,2.26468,0.00982675,0.00982675,0.00982675
16,742.859,2.4506,1.40054,2.02406,0.72922,0.56518,0.66592,0.42663,3.09553,1.97198,2.19605,0.00981438,0.00981438,0.00981438
17,788.806,2.41006,1.32989,2.00315,0.78386,0.59706,0.73652,0.44521,3.18692,1.90531,2.21137,0.009802,0.009802,0.009802
18,834.709,2.35864,1.28604,1.98967,0.73709,0.60091,0.72464,0.47062,3.08326,1.86514,2.17286,0.00978962,0.00978962,0.00978962
19,880.725,2.34106,1.27503,1.98122,0.73006,0.56687,0.66411,0.42287,3.05537,2.05716,2.16596,0.00977725,0.00977725,0.00977725
20,926.758,2.31784,1.22717,1.97003,0.72477,0.59124,0.67256,0.45321,2.88388,2.04135,2.1263,0.00976487,0.00976487,0.00976487
21,972.681,2.27652,1.20175,1.9571,0.65362,0.67477,0.73955,0.46766,3.08258,1.79909,2.16997,0.0097525,0.0097525,0.0097525
22,1018.57,2.26001,1.16798,1.95583,0.6888,0.68303,0.74058,0.48749,2.87733,1.67024,2.10567,0.00974013,0.00974013,0.00974013
