epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1078,1.30939,3.36778,1.85107,0.17164,0.08275,0.0986,0.0427,4.47467,5.51513,3.58967,8.72004e-05,8.72004e-05,8.72004e-05
2,182.115,0.92561,0.93226,1.69213,0.21359,0.16007,0.15476,0.05718,4.38859,6.18686,3.83186,0.000173136,0.000173136,0.000173136
3,270.123,0.86508,0.70011,1.67143,0.41762,0.12603,0.16399,0.06722,4.11073,6.376,3.55731,0.000257336,0.000257336,0.000257336
4,357.765,0.84239,0.61421,1.66149,0.38486,0.10073,0.11255,0.04955,4.31074,6.34669,3.63716,0.000255189,0.000255189,0.000255189
5,445.071,0.79726,0.55264,1.65241,0.37342,0.09881,0.11258,0.04742,4.39402,6.50707,3.73792,0.000252585,0.000252585,0.000252585
6,532.293,0.74541,0.50315,1.64199,0.45633,0.13877,0.14959,0.05954,4.22499,6.47129,3.64107,0.000249981,0.000249981,0.000249981
7,619.569,0.70822,0.47056,1.63627,0.4638,0.10436,0.11751,0.04197,4.56083,6.56247,3.87398,0.000247378,0.000247378,0.000247378
8,706.727,0.7025,0.45742,1.63131,0.42471,0.14341,0.14817,0.05694,4.4834,6.65867,3.85768,0.000244774,0.000244774,0.000244774
9,793.919,0.66443,0.42787,1.62178,0.25932,0.14809,0.15234,0.06052,4.31692,6.92902,3.79637,0.00024217,0.00024217,0.00024217
10,881.396,0.651,0.41833,1.62444,0.42485,0.14559,0.15456,0.06576,4.22044,6.68453,3.71174,0.000239567,0.000239567,0.000239567
11,968.833,0.66191,0.40213,1.61903,0.18914,0.13993,0.13203,0.05492,4.35039,6.65007,3.76814,0.000236963,0.000236963,0.000236963
12,1056.5,0.65431,0.39007,1.61691,0.29355,0.18383,0.17268,0.07359,4.32428,6.84085,3.7951,0.000234359,0.000234359,0.000234359
13,1143.89,0.604,0.38132,1.61576,0.42149,0.10359,0.11084,0.04824,4.38739,6.84165,4.03495,0.000231756,0.000231756,0.000231756
14,1231.17,0.62401,0.38547,1.61449,0.34035,0.13452,0.15821,0.06623,4.33381,6.86653,3.98109,0.000229152,0.000229152,0.000229152
15,1318.4,0.58852,0.36694,1.60869,0.38594,0.1364,0.1475,0.05789,4.33102,6.96922,4.01686,0.000226548,0.000226548,0.000226548
16,1405.64,0.58416,0.36219,1.60681,0.4244,0.14302,0.14682,0.06089,4.40909,7.08069,4.14923,0.000223945,0.000223945,0.000223945
17,1493.13,0.56876,0.35092,1.60511,0.50409,0.13607,0.14832,0.05187,4.42866,7.0475,3.87379,0.000221341,0.000221341,0.000221341
18,1580.56,0.56669,0.34654,1.60376,0.46103,0.14723,0.1525,0.06721,4.3306,7.02996,3.81956,0.000218737,0.000218737,0.000218737
19,1669.1,0.55118,0.33903,1.59747,0.57471,0.13936,0.16511,0.06075,4.56461,6.85233,4.22316,0.000216133,0.000216133,0.000216133
20,1756.22,0.54441,0.33077,1.59827,0.35606,0.14751,0.1506,0.05464,4.54019,7.04131,4.10722,0.00021353,0.00021353,0.00021353
21,1843.68,0.55068,0.33483,1.59736,0.41252,0.14863,0.16051,0.06194,4.3756,6.75876,3.89884,0.000210926,0.000210926,0.000210926
22,1931,0.53092,0.31902,1.59387,0.26753,0.1634,0.16311,0.06225,4.38728,6.84323,4.141,0.000208322,0.000208322,0.000208322
23,2018.39,0.51266,0.31672,1.59275,0.44949,0.15159,0.15328,0.05939,4.44697,7.13171,4.18575,0.000205719,0.000205719,0.000205719
